status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,1
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""z"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,2
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""x"": 2, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,3
completed,17,5,17,"{""h"": 8, ""barrier"": 6, ""cx"": 5, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,4
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 2, ""z"": 2, ""s"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,5
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""y"": 2, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,6
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 3, ""s"": 3, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,7
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""y"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,8
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""x"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,9
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""x"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,10
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""s"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,11
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""x"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,fixed_payload_experiments,"{""0"": 1024}",1.0,12
