status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,target_depth,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 1972, ""0"": 2124}",0.5185546875,cz6t1zz39f40008svksg,ibm_kyiv,13,2.0,2.0,completed,0.5185546875,2025-03-09T14:09:03.186Z,2025-03-09T14:09:09.710Z,2025-03-09T14:09:06.178Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:09:07', stop='2025-03-09 14:09:08', size=4096>)])",1.888452
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 1526, ""0"": 2570}",0.62744140625,cz6t258p6030008cxdeg,ibm_kyiv,13,2.0,2.0,completed,0.62744140625,2025-03-09T14:09:25.535Z,2025-03-09T14:09:31.956Z,2025-03-09T14:09:28.501Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:09:29', stop='2025-03-09 14:09:31', size=4096>)])",1.8768799999999999
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 3529, ""1"": 567}",0.861572265625,cz6t2bsp6030008cxdfg,ibm_brisbane,13,2.0,2.0,completed,0.861572265625,2025-03-09T14:09:51.338Z,2025-03-09T14:11:15.086Z,2025-03-09T14:09:54.209Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:11:12', stop='2025-03-09 14:11:14', size=4096>)])",1.8449900000000001
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 3551, ""1"": 545}",0.866943359375,cz6t35m39f40008svkxg,ibm_brisbane,13,2.0,2.0,completed,0.866943359375,2025-03-09T14:11:34.401Z,2025-03-09T14:11:41.369Z,2025-03-09T14:11:37.312Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:11:38', stop='2025-03-09 14:11:40', size=4096>)])",1.826786
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 3531, ""1"": 565}",0.862060546875,cz6t3c539f40008svky0,ibm_brisbane,13,2.0,2.0,completed,0.862060546875,2025-03-09T14:12:00.604Z,2025-03-09T14:12:08.995Z,2025-03-09T14:12:03.564Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:12:06', stop='2025-03-09 14:12:08', size=4096>)])",1.8533
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 1567, ""1"": 2529}",0.382568359375,cz6t3jp10wx0008by8f0,ibm_brisbane,13,3.0,3.0,completed,0.382568359375,2025-03-09T14:12:26.963Z,2025-03-09T14:13:37.670Z,2025-03-09T14:12:30.004Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:13:34', stop='2025-03-09 14:13:36', size=4096>)])",2.002285
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 1663, ""1"": 2433}",0.406005859375,cz6t4a9p6030008cxdn0,ibm_brisbane,13,2.0,2.0,completed,0.406005859375,2025-03-09T14:14:01.989Z,2025-03-09T14:14:09.881Z,2025-03-09T14:14:04.797Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:14:07', stop='2025-03-09 14:14:09', size=4096>)])",1.8281049999999999
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 1687, ""1"": 2409}",0.411865234375,cz6t4h2h0kc00089bdc0,ibm_brisbane,13,2.0,2.0,completed,0.411865234375,2025-03-09T14:14:28.452Z,2025-03-09T14:16:01.262Z,2025-03-09T14:14:31.154Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:15:58', stop='2025-03-09 14:16:00', size=4096>)])",1.833122
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 2479, ""0"": 1617}",0.394775390625,cz6t5dxp6030008cxdsg,ibm_brisbane,13,2.0,2.0,completed,0.394775390625,2025-03-09T14:16:24.084Z,2025-03-09T14:19:23.692Z,2025-03-09T14:16:26.761Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:19:20', stop='2025-03-09 14:19:22', size=4096>)])",1.8823910000000001
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 1599, ""1"": 2497}",0.390380859375,cz6t70439f40008svm5g,ibm_brisbane,13,2.0,2.0,completed,0.390380859375,2025-03-09T14:19:44.763Z,2025-03-09T14:19:51.562Z,2025-03-09T14:19:47.973Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 14:19:48', stop='2025-03-09 14:19:50', size=4096>)])",1.816937
