status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,target_depth
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,13,5,13,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,target_depth_experiment,"{""0"": 1024}",1.0,13
completed,15,5,15,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""s"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,simulation,target_depth_experiment,"{""0"": 1024}",1.0,15
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""y"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,2,simulation,target_depth_experiment,"{""00"": 1024}",1.0,15
completed,15,5,15,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,simulation,target_depth_experiment,"{""0"": 1024}",1.0,15
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""z"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,2,simulation,target_depth_experiment,"{""00"": 1024}",1.0,15
completed,15,5,15,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,simulation,target_depth_experiment,"{""0"": 1024}",1.0,15
completed,15,7,20,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,2,simulation,target_depth_experiment,"{""00"": 1024}",1.0,15
