status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,target_depth
pending,8,5,13,"{""h"": 6, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,,,d099jsbkzhn0008v2b50,,
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 1298, ""0"": 2798}",0.68310546875,d099qmekzhn0008v2deg,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2398, ""1"": 1698}",0.58544921875,d099smyd8drg008yfj60,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2432, ""1"": 1664}",0.59375,d099szzqnmvg0086txk0,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 1465, ""0"": 2631}",0.642333984375,d099td1rxz8g0089yn50,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""1"": 1577, ""0"": 2519}",0.614990234375,d099tzbrxz8g0089ynf0,ibm_sherbrooke,13.0
completed,8,5,13,"{""h"": 6, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2761, ""1"": 1335}",0.674072265625,d099va5rxz8g0089ynn0,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2721, ""1"": 1375}",0.664306640625,d099vhpkzhn0008v2f60,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2742, ""1"": 1354}",0.66943359375,d099vx7qnmvg0086tygg,ibm_sherbrooke,13.0
completed,8,5,13,"{""cx"": 5, ""h"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,ibm,target_depth_experiment,"{""0"": 2782, ""1"": 1314}",0.67919921875,d099wc1nhqag008p97d0,ibm_sherbrooke,13.0
completed,9,5,15,"{""cx"": 5, ""h"": 4, ""x"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,ibm,target_depth_experiment,"{""0"": 2755, ""1"": 1341}",0.672607421875,d099wzbqnmvg0086tyz0,ibm_sherbrooke,15.0
completed,10,7,20,"{""cx"": 7, ""h"": 6, ""y"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,2,ibm,target_depth_experiment,"{""11"": 1066, ""01"": 665, ""00"": 743, ""10"": 1622}",0.181396484375,d099xgyqnmvg0086tz8g,ibm_sherbrooke,15.0
completed,9,5,15,"{""cx"": 5, ""h"": 4, ""s"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,ibm,target_depth_experiment,"{""0"": 2505, ""1"": 1591}",0.611572265625,d099xz7qnmvg0086tzdg,ibm_sherbrooke,15.0
completed,10,7,20,"{""cx"": 7, ""h"": 6, ""x"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,2,ibm,target_depth_experiment,"{""10"": 712, ""11"": 2052, ""00"": 423, ""01"": 909}",0.103271484375,d099ztfrxz8g0089yq7g,ibm_sherbrooke,15.0
completed,9,5,15,"{""cx"": 5, ""h"": 4, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,ibm,target_depth_experiment,"{""0"": 2736, ""1"": 1360}",0.66796875,d09a1p6qnmvg0086v11g,ibm_sherbrooke,15.0
completed,10,7,20,"{""cx"": 7, ""h"": 6, ""x"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,ibm,target_depth_experiment,"{""01"": 315, ""00"": 1321, ""10"": 2157, ""11"": 303}",0.322509765625,d09a39n6rr3g00870zy0,ibm_sherbrooke,15.0
completed,9,5,15,"{""cx"": 5, ""h"": 4, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,ibm,target_depth_experiment,"{""0"": 2804, ""1"": 1292}",0.6845703125,d09a4206rr3g0087108g,ibm_sherbrooke,15.0
