Model,Description,Success,R²,Adj R²,RMSE,AIC,BIC,Log-Likelihood,Durbin-Watson,BP p-value,Parameters,Degrees of Freedom
polynomial_5,Polynomial (degree 5): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4 + c5*x^5,True,0.6200979780242512,0.4776347197833454,0.09413549704177518,-31.427751001891707,-24.61478570631681,21.713875500945854,3.7122337222360255,0.001867531610616654,6,17
skewed_gaussian,Skewed Gaussian: Gaussian with asymmetry parameter,True,0.6120201373274301,0.5258023900668589,0.09513103242573806,-34.94382972817198,-30.40185286445538,21.47191486408599,3.609719187729049,0.003254304678068271,4,19
polynomial_4,Polynomial (degree 4): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4,True,0.6104192505446779,0.49583667717546565,0.09532709574119348,-32.84912213250658,-27.17165105286083,21.42456106625329,3.6206558799113293,0.002522972203242416,5,18
logistic,Logistic: L/(1+exp(-k*(x-x0))),True,0.606285005601942,0.5441194801706697,0.09583156818969171,-36.60633129032672,-33.19984864253927,21.30316564516336,3.5543493556309764,0.0029703724155599204,3,20
weibull,Weibull CDF: a*(1-exp(-(x/b)^c)),True,0.6057500667218898,0.543500077256925,0.0958966490619654,-36.57510249904618,-33.16861985125873,21.28755124952309,3.554267339122879,0.004044753328157651,3,20
hill_equation,Hill Equation: (a*x^n)/(b^n+x^n),True,0.5735127092332972,0.5061726106911864,0.09974029868650648,-34.76735974658944,-31.360877098801993,20.38367987329472,3.2964412985097704,0.00486370784682984,3,20
gompertz,Gompertz: a*exp(-b*exp(-c*x)),True,0.5443985132561058,0.4724614364018067,0.10308849131797167,-33.2485334198051,-29.84205077201765,19.62426670990255,3.0957514918708733,0.0041419106237176795,3,20
stretched_exponential,Stretched Exponential: a*(1-exp(-(x/tau)^beta)),True,0.5292248818022576,0.45489196840261403,0.10479109248942992,-32.49500675030409,-29.088524102516644,19.247503375152046,3.0033884832663396,0.002786691801695638,3,20
polynomial_3,Polynomial (degree 3): c0 + c1*x + c2*x^2 + c3*x^3,True,0.5216847351634297,0.41539245408863634,0.10562694962015805,-30.129547307094782,-25.587570443378183,19.06477365354739,2.988396470661436,0.004143367402864928,4,19
power_saturation,Power Saturation: a*x^b/(1+c*x^b),True,0.4790245048846574,0.3967652161822349,0.11023671565406865,-30.16458965562324,-26.75810700783579,18.08229482781162,2.724464084957004,0.004991100768612394,3,20
quantum_error,Quantum Error: 1-(1-p)^x+offset,True,0.40310523945836596,0.34341576340420255,0.1179957869070186,-29.03572000184279,-26.76473156998449,16.517860000921395,2.4016507638568054,0.002900165372547798,2,21
exponential_saturation,Exponential Saturation: a*(1-exp(-b*x))+c,True,0.37263372115573645,0.27357588765401064,0.12097014557883219,-25.890556223351943,-22.484073575564494,15.945278111675972,2.29237079205968,0.0029085164767868508,3,20
quadratic,Quadratic: a * x^2 + b * x + c,True,0.33921986980490537,0.2348861650372589,0.12414982311594086,-24.69707229491693,-21.29058964712948,15.348536147458464,2.1929374290812778,0.0038315517230303638,3,20
gaussian,Gaussian: amplitude * exp(-(x-center)²/(2*sigma²)),True,0.3068878142055246,0.10303128897185532,0.1271508842399302,-19.598345782893873,-13.920874703248124,14.799172891446936,2.0985556864855504,0.0034977261564341717,5,18
