Model,Description,Success,R²,Adj R²,RMSE,AIC,BIC,Log-Likelihood,Durbin-Watson,BP p-value,Parameters,Degrees of Freedom
polynomial_5,Polynomial (degree 5): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4 + c5*x^5,True,0.6901142879873734,0.5739071459826384,0.09074765652227598,-33.11376843494877,-26.30080313937387,22.556884217474384,3.5771848264972155,0.012027663078408829,6,17
polynomial_4,Polynomial (degree 4): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4,True,0.6895912919878324,0.5982946131607243,0.09082420192507852,-35.07498391440008,-29.39751283475433,22.53749195720004,3.5703849713379103,0.01234908778374974,5,18
skewed_gaussian,Skewed Gaussian: Gaussian with asymmetry parameter,True,0.6582304028733819,0.5822816035119112,0.09530185533046509,-34.8613034816014,-30.319326617884798,21.4306517408007,3.2327164761761047,0.014021561969108315,4,19
weibull,Weibull CDF: a*(1-exp(-(x/b)^c)),True,0.6218561496977941,0.5621492259658669,0.10024510227370331,-34.535132651831944,-31.128650004044495,20.267566325915972,2.9322736561531815,0.01194713340809844,3,20
logistic,Logistic: L/(1+exp(-k*(x-x0))),True,0.6152046185130906,0.5544474530151575,0.10112291208073769,-34.134080806232355,-30.727598158444906,20.067040403116177,2.884740938476575,0.01108055548865947,3,20
polynomial_3,Polynomial (degree 3): c0 + c1*x + c2*x^2 + c3*x^3,True,0.5904258643759582,0.4994093897928378,0.10432800530653663,-30.69873797770901,-26.15676111399241,19.349368988854504,2.7602393887014927,0.012000604778578769,4,19
hill_equation,Hill Equation: (a*x^n)/(b^n+x^n),True,0.571966557933634,0.5043823302389447,0.10665310241461944,-31.684819733640545,-28.278337085853096,18.842409866820272,2.5990235585338333,0.006577893119614847,3,20
gompertz,Gompertz: a*exp(-b*exp(-c*x)),True,0.541391563080579,0.4689797046196178,0.11039659089201057,-30.09792463257996,-26.69144198479251,18.04896231628998,2.4303429560708865,0.0035179374845915267,3,20
stretched_exponential,Stretched Exponential: a*(1-exp(-(x/tau)^beta)),True,0.5288549523237898,0.4544636290064934,0.11189532899850584,-29.477632202690458,-26.07114955490301,17.73881610134523,2.369160250399306,0.0021527986062729043,3,20
power_saturation,Power Saturation: a*x^b/(1+c*x^b),True,0.45739581198488577,0.3717214665088151,0.12008153007632086,-26.22970755404082,-22.823224906253373,16.11485377702041,2.0718583685806116,0.00225738106451779,3,20
