Model,Description,Success,R²,Adj R²,RMSE,AIC,BIC,Log-Likelihood,Durbin-Watson,BP p-value,Parameters,Degrees of Freedom
polynomial_5,Polynomial (degree 5): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4 + c5*x^5,True,0.9299416789198954,0.8949125183798432,0.035138233171347594,-61.32202387133199,-55.655389996333355,36.661011935666,2.8786278604830122,0.6285638209656594,6,13
polynomial_4,Polynomial (degree 4): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4,True,0.9181143073889263,0.886619810230821,0.03798866843476437,-60.35809552504378,-55.63590062921158,35.17904776252189,2.7575507404463706,0.34461840609528704,5,14
logistic,Logistic: L/(1+exp(-k*(x-x0))),True,0.9083013165839393,0.8899615799007272,0.04020051417201468,-62.2076044756551,-59.374287538155784,34.10380223782755,2.529217975603434,0.9727940177832531,3,16
skewed_gaussian,Skewed Gaussian: Gaussian with asymmetry parameter,True,0.9055751875365058,0.8785966696897931,0.04079370239048749,-59.65098311930336,-55.8732272026376,33.82549155965168,2.4896292601989014,0.9004746023285862,4,15
weibull,Weibull CDF: a*(1-exp(-(x/b)^c)),True,0.901593401681528,0.8819120820178337,0.041644932977729934,-60.86620758698679,-58.03289064948747,33.433103793493395,2.4657498695962214,0.6011624480107949,3,16
hill_equation,Hill Equation: (a*x^n)/(b^n+x^n),True,0.8886273610696317,0.866352833283558,0.04430363014217953,-58.51450484746688,-55.68118790996756,32.25725242373344,2.202260182895531,0.2651256251039945,3,16
polynomial_3,Polynomial (degree 3): c0 + c1*x + c2*x^2 + c3*x^3,True,0.8611197882063771,0.8214397276939134,0.04947322741875872,-52.32063314440764,-48.542877227741876,30.16031657220382,1.8030594352200964,0.3685233050783888,4,15
gompertz,Gompertz: a*exp(-b*exp(-c*x)),True,0.844960868636573,0.8139530423638877,0.05227219303785945,-52.2293835230883,-49.39606658558898,29.11469176154415,1.7563749620651465,0.10388447657496121,3,16
stretched_exponential,Stretched Exponential: a*(1-exp(-(x/tau)^beta)),True,0.8047701646754422,0.7657241976105306,0.05865744629948068,-47.84988425014015,-45.01656731264083,26.924942125070075,1.5188113266705898,0.0774219275333114,3,16
power_saturation,Power Saturation: a*x^b/(1+c*x^b),True,0.8015764693318039,0.7618917631981648,0.059135278192610566,-47.54158487738589,-44.70826793988657,26.770792438692943,1.4550186588515257,0.09215173915138823,3,16
quadratic,Quadratic: a * x^2 + b * x + c,True,0.7463084268632479,0.6955701122358975,0.06686565119080766,-42.87299113322585,-40.03967419572653,24.436495566612926,1.268605489598529,0.0767037142041918,3,16
quantum_error,Quantum Error: 1-(1-p)^x+offset,True,0.7139153393779472,0.6781547568001906,0.07100637534892809,-42.58978900657833,-40.700911048245445,23.294894503289164,1.132450856475262,0.06644573880320946,2,17
gaussian,Gaussian: amplitude * exp(-(x-center)²/(2*sigma²)),True,0.6844304192907233,0.5630575036333092,0.07457574903791879,-34.726052110856926,-30.003857215024723,22.363026055428463,1.121166221895004,0.064917967211186,5,14
voigt,Voigt: Convolution of Gaussian and Lorentzian,True,0.6680836964656058,0.5021255446984088,0.07648290063538749,-31.766482939352258,-26.099849064353617,21.88324146967613,1.0869594739453603,0.06363997550443434,6,13
exponential_saturation,Exponential Saturation: a*(1-exp(-b*x))+c,True,0.6536284574815072,0.5843541489778087,0.07813060001533753,-36.956528483552276,-34.12321154605296,21.478264241776138,0.9943841815162302,0.06753516652690965,3,16
lorentzian,Lorentzian: amplitude / (1 + ((x-center)/sigma)²),True,0.6351655727178971,0.4948446391478575,0.08018589194261118,-31.969827978127697,-27.247633082295494,20.98491398906385,1.021132026925724,0.061353276870122604,5,14
michaelis_menten,Michaelis-Menten: (a*x)/(b+x),True,0.6170238559547432,0.5691518379490861,0.08215536298140194,-37.0477755840365,-35.15889762570362,20.52388779201825,0.9193444230124673,0.07231311315121913,2,17
double_exponential,Double Exponential: a*exp(b*x)+c*exp(d*x),True,0.605838293476581,0.4932206630413185,0.08334648184947598,-32.50079317976485,-28.723037263099087,20.250396589882424,0.9760579810480317,0.05740469496810968,4,15
power_law,Power Law: amplitude * x^exponent,True,0.5459072065525465,0.48914560737161483,0.0894586546273326,-33.81152709475003,-31.922649136417153,18.905763547375017,0.815663015669335,0.07362693496127173,2,17
sigmoid_exponential,Sigmoid + Exponential: a/(1+exp(-k*x)) + b*exp(-c*x),True,0.49008970257916373,0.34440104617321055,0.09479751411369024,-27.60879525300974,-23.831039336343977,17.80439762650487,0.7498942221529438,0.054435719731959195,4,15
damped_oscillator,Damped Oscillator: amplitude * exp(-x/decay) * sin(frequency*x + phase),True,0.48530020792122563,0.33824312447014726,0.09524168145764604,-27.431164635773662,-23.6534087191079,17.71558231788683,0.8078380720385046,0.053837397844233324,4,15
linear,Linear: slope * x + intercept,True,0.4659022560330284,0.3991400380371569,0.09701981216218275,-30.728258483345982,-28.8393805250131,17.36412924167299,0.7305763302221119,0.07321028176231521,2,17
