Model,Description,Success,R²,Adj R²,RMSE,AIC,BIC,Log-Likelihood,Durbin-Watson,BP p-value,Parameters,Degrees of Freedom
polynomial_5,Polynomial (degree 5): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4 + c5*x^5,True,0.9282345517588735,0.8923518276383102,0.03684699976419302,-59.51761682331586,-53.850982948317224,35.75880841165793,2.467858839555152,0.6584218871626955,6,13
polynomial_4,Polynomial (degree 4): c0 + c1*x + c2*x^2 + c3*x^3 + c4*x^4,True,0.9277933006705508,0.9000214932361472,0.03696010338047159,-61.40115267285401,-56.67895777702181,35.700576336427005,2.509026241078841,0.5690962322339739,5,14
skewed_gaussian,Skewed Gaussian: Gaussian with asymmetry parameter,True,0.9140471500251945,0.8894891928895359,0.04032501813428763,-60.09009753839179,-56.31234162172603,34.045048769195894,2.3671171531694117,0.6272535624078277,4,15
logistic,Logistic: L/(1+exp(-k*(x-x0))),True,0.9136014752796191,0.8963217703355429,0.04042942773747487,-61.99183503187359,-59.15851809437427,33.995917515936796,2.3093639105996897,0.7271559848587844,3,16
weibull,Weibull CDF: a*(1-exp(-(x/b)^c)),True,0.9107371170520976,0.8928845404625171,0.04109413897480295,-61.37214706161636,-58.53883012411704,33.68607353080818,2.348091602898815,0.4967498117438941,3,16
polynomial_3,Polynomial (degree 3): c0 + c1*x + c2*x^2 + c3*x^3,True,0.8889639014169763,0.8572393018218267,0.04583281454085521,-55.225024587441695,-51.447268670775934,31.612512293720847,1.7737895676082867,0.8700687063327659,4,15
hill_equation,Hill Equation: (a*x^n)/(b^n+x^n),True,0.8773933680872977,0.8528720417047573,0.04816165604793376,-55.34163524164792,-52.5083183041486,30.67081762082396,1.6814081685027058,0.3889030293354927,3,16
gompertz,Gompertz: a*exp(-b*exp(-c*x)),True,0.8259957837204883,0.7911949404645859,0.057375213759015116,-48.68976536674218,-45.85644842924286,27.34488268337109,1.325768868033463,0.1444613362043492,3,16
stretched_exponential,Stretched Exponential: a*(1-exp(-(x/tau)^beta)),True,0.7844749586186515,0.7413699503423817,0.06385476328458514,-44.623811466705945,-41.790494529206626,25.311905733352972,1.1723975211262985,0.08897009004946821,3,16
power_saturation,Power Saturation: a*x^b/(1+c*x^b),True,0.7652518848568464,0.7183022618282157,0.06664161106678404,-43.00052775648483,-40.16721081898551,24.500263878242414,1.0568938822390042,0.11530201542146999,3,16
quadratic,Quadratic: a * x^2 + b * x + c,True,0.7293538456356323,0.6752246147627587,0.07155588558296105,-40.296843423757664,-37.463526486258345,23.148421711878832,1.0230069813252292,0.15477972101002616,3,16
quantum_error,Quantum Error: 1-(1-p)^x+offset,True,0.6617493121902032,0.6194679762139785,0.0799951716963914,-38.06031773536205,-36.171439777029164,21.030158867681024,0.840951785901507,0.06182012561236249,2,17
gaussian,Gaussian: amplitude * exp(-(x-center)²/(2*sigma²)),True,0.6574328966223246,0.5256763184001418,0.0805039626924555,-31.81939278970826,-27.097197893876057,20.90969639485413,0.9043889748002221,0.0919681092151982,5,14
voigt,Voigt: Convolution of Gaussian and Lorentzian,True,0.638461624125235,0.4576924361878525,0.08270307016485243,-28.795280771983258,-23.128646896984616,20.39764038599163,0.8767693437769751,0.08439238492788251,6,13
lorentzian,Lorentzian: amplitude / (1 + ((x-center)/sigma)²),True,0.599593012548187,0.44559032506672047,0.08703526471246323,-28.855127973701883,-24.13293307786968,19.42756398685094,0.8226056841504139,0.07381875539403128,5,14
exponential_saturation,Exponential Saturation: a*(1-exp(-b*x))+c,True,0.5977772341241314,0.5173326809489577,0.08723238663878906,-32.76916094153008,-29.935844004030763,19.38458047076504,0.7549658816144181,0.05979695344612592,3,16
michaelis_menten,Michaelis-Menten: (a*x)/(b+x),True,0.5522990192647648,0.49633639667286034,0.09203191386569598,-32.733890883378415,-30.845012925045534,18.366945441689207,0.6975122447790213,0.06455813083231612,2,17
double_exponential,Double Exponential: a*exp(b*x)+c*exp(d*x),True,0.5514534867731644,0.42329734013692566,0.09211877906192562,-28.698041138269424,-24.920285221603663,18.349020569134712,0.7699594642362678,0.05828773989409601,4,15
power_law,Power Law: amplitude * x^exponent,True,0.47301089587776113,0.4071372578624812,0.09984935152347961,-29.635858856860366,-27.746980898527486,16.817929428430183,0.6283037506751112,0.06280337477043756,2,17
sigmoid_exponential,Sigmoid + Exponential: a/(1+exp(-k*x)) + b*exp(-c*x),True,0.4464723461106548,0.28832158785655615,0.10233261969139655,-24.702353902131243,-20.924597985465482,16.35117695106562,0.6125142368595784,0.042282691217931836,4,15
damped_oscillator,Damped Oscillator: amplitude * exp(-x/decay) * sin(frequency*x + phase),True,0.42100111407462515,0.2555728609530894,0.10466061797605741,-23.8475659293061,-20.06981001264034,15.92378296465305,0.6480623303496905,0.04910304443356479,4,15
linear,Linear: slope * x + intercept,True,0.3870111120503458,0.31038750105663904,0.10768884812133979,-26.7636870840902,-24.87480912575732,15.3818435420451,0.572567224591051,0.05937033365131699,2,17
exponential,Exponential: amplitude * exp(-x/decay),True,0.3469651461347696,0.26533578940161573,0.11115080470926442,-25.56129689067329,-23.67241893234041,14.780648445336645,0.5507447955099237,0.05164906124288376,2,17
breit_wigner,Breit-Wigner: amplitude / ((x-center)² + (sigma/2)²),True,0.0244973622315231,-0.25421767713089904,0.13584969093898455,-13.936172027126112,-10.158416110460351,10.968086013563056,0.37863852048962565,0.039846060644788385,4,15
modified_exponential,Modified Exponential: 1/(1-a*exp(-b*x)),True,-7.505787814907194,-8.569011291770593,0.4011452952178937,23.20926402843988,25.09814198677276,-9.60463201421994,0.045344910181452376,0.00949153058078878,2,17
lognormal,Log-Normal: amplitude * exp(-(ln(x/center))²/(2*sigma²)),True,-20.52710572597469,-28.80676177442649,0.6381712757250155,46.85201843395794,51.57421332979014,-18.42600921697897,0.01791667626022197,0.005982554624800513,5,14
