status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend
completed,20005,5,20011,"{""x"": 4120, ""u"": 4064, ""y"": 3954, ""t"": 1977, ""tdg"": 1977, ""s"": 1954, ""sdg"": 1954, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10000,ibm,dynamic_payload_gates,"{""0"": 2034, ""1"": 2062}",0.49658203125,cz532rbh0kc00088zr40,ibm_brisbane
completed,20007,5,20013,"{""x"": 4046, ""y"": 3926, ""u"": 3864, ""s"": 2068, ""sdg"": 2068, ""t"": 2015, ""tdg"": 2015, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10001,ibm,dynamic_payload_gates,"{""0"": 1988, ""1"": 2108}",0.4853515625,cz534d91xvhg008eag90,ibm_kyiv
completed,20009,5,20015,"{""u"": 4140, ""y"": 3972, ""x"": 3958, ""t"": 2007, ""tdg"": 2007, ""s"": 1960, ""sdg"": 1960, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10002,ibm,dynamic_payload_gates,"{""0"": 2030, ""1"": 2066}",0.49560546875,cz535pep6030008chv0g,ibm_brisbane
completed,20011,5,20017,"{""u"": 3974, ""y"": 3920, ""x"": 3902, ""s"": 2063, ""sdg"": 2063, ""t"": 2042, ""tdg"": 2042, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10003,ibm,dynamic_payload_gates,"{""1"": 2069, ""0"": 2027}",0.494873046875,cz535xq39f40008sfye0,ibm_brisbane
completed,20013,5,20019,"{""x"": 4074, ""u"": 3938, ""y"": 3936, ""s"": 2034, ""sdg"": 2034, ""t"": 1996, ""tdg"": 1996, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10004,ibm,dynamic_payload_gates,"{""1"": 2081, ""0"": 2015}",0.491943359375,cz53660p6030008chv5g,ibm_brisbane
completed,20015,5,20021,"{""y"": 4000, ""u"": 3952, ""x"": 3922, ""t"": 2064, ""tdg"": 2064, ""s"": 2004, ""sdg"": 2004, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10005,ibm,dynamic_payload_gates,"{""1"": 2031, ""0"": 2065}",0.504150390625,cz536yvp6030008chv8g,ibm_brisbane
completed,10007,7,20016,"{""y"": 4204, ""x"": 4040, ""u"": 4010, ""s"": 1957, ""sdg"": 1957, ""t"": 1916, ""tdg"": 1916, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10000,ibm,dynamic_payload_gates,"{""00"": 988, ""01"": 1001, ""10"": 1066, ""11"": 1041}",0.2412109375,cz537py10wx0008bjn20,ibm_kyiv
completed,10007,7,20018,"{""y"": 4024, ""u"": 3982, ""x"": 3948, ""t"": 2019, ""tdg"": 2019, ""s"": 2005, ""sdg"": 2005, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10001,ibm,dynamic_payload_gates,"{""00"": 935, ""11"": 1235, ""01"": 1164, ""10"": 762}",0.228271484375,cz537xz39f40008sfym0,ibm_brisbane
completed,10009,7,20020,"{""u"": 4080, ""y"": 4040, ""x"": 3908, ""s"": 2020, ""sdg"": 2020, ""t"": 1968, ""tdg"": 1968, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10002,ibm,dynamic_payload_gates,"{""01"": 990, ""10"": 1115, ""11"": 1053, ""00"": 938}",0.22900390625,cz53870kvm9g008ga210,ibm_kyiv
completed,10009,7,20022,"{""u"": 4180, ""y"": 4016, ""x"": 3854, ""s"": 1992, ""sdg"": 1992, ""t"": 1986, ""tdg"": 1986, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10003,ibm,dynamic_payload_gates,"{""00"": 992, ""01"": 948, ""11"": 1079, ""10"": 1077}",0.2421875,cz538e139f40008sfypg,ibm_kyiv
completed,10011,7,20024,"{""y"": 3958, ""u"": 3944, ""x"": 3898, ""s"": 2110, ""sdg"": 2110, ""t"": 1994, ""tdg"": 1994, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10004,ibm,dynamic_payload_gates,"{""00"": 1134, ""10"": 995, ""11"": 949, ""01"": 1018}",0.27685546875,cz538na10wx0008bjn7g,ibm_brisbane
completed,10011,7,20026,"{""x"": 4086, ""y"": 4022, ""u"": 3974, ""s"": 2019, ""sdg"": 2019, ""t"": 1945, ""tdg"": 1945, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10005,ibm,dynamic_payload_gates,"{""00"": 1001, ""10"": 1028, ""01"": 985, ""11"": 1082}",0.244384765625,cz5396mp6030008chvn0,ibm_kyiv
completed,6675,9,20021,"{""x"": 4078, ""u"": 4036, ""y"": 4028, ""s"": 1995, ""sdg"": 1995, ""t"": 1934, ""tdg"": 1934, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10000,ibm,dynamic_payload_gates,"{""011"": 604, ""100"": 474, ""110"": 480, ""111"": 509, ""001"": 537, ""010"": 545, ""000"": 479, ""101"": 468}",0.116943359375,cz523h610wx0008bjg30,ibm_brisbane
completed,6675,9,20023,"{""y"": 4104, ""x"": 4008, ""u"": 3974, ""s"": 1998, ""sdg"": 1998, ""t"": 1960, ""tdg"": 1960, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10001,ibm,dynamic_payload_gates,"{""110"": 548, ""011"": 585, ""010"": 471, ""000"": 503, ""001"": 566, ""111"": 463, ""101"": 460, ""100"": 500}",0.122802734375,cz525bnh0kc00088zkp0,ibm_kyiv
completed,6677,9,20025,"{""x"": 4100, ""u"": 3988, ""y"": 3888, ""s"": 2031, ""sdg"": 2031, ""t"": 1983, ""tdg"": 1983, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10002,ibm,dynamic_payload_gates,"{""001"": 492, ""100"": 539, ""101"": 515, ""011"": 506, ""010"": 446, ""110"": 513, ""111"": 603, ""000"": 482}",0.11767578125,cz525m61xvhg008eabrg,ibm_brisbane
pending,6677,9,20027,"{""x"": 4078, ""y"": 4064, ""u"": 3978, ""s"": 1978, ""sdg"": 1978, ""t"": 1965, ""tdg"": 1965, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10003,ibm,dynamic_payload_gates,,,,
completed,6677,9,20029,"{""x"": 4082, ""u"": 4040, ""y"": 3914, ""s"": 1995, ""sdg"": 1995, ""t"": 1991, ""tdg"": 1991, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10004,ibm,dynamic_payload_gates,"{""000"": 527, ""001"": 573, ""010"": 576, ""100"": 451, ""111"": 481, ""011"": 612, ""101"": 433, ""110"": 443}",0.128662109375,cz52at3p6030008chpx0,ibm_kyiv
completed,6679,9,20031,"{""x"": 4102, ""u"": 4006, ""y"": 3820, ""s"": 2052, ""sdg"": 2052, ""t"": 1989, ""tdg"": 1989, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,10005,ibm,dynamic_payload_gates,"{""000"": 490, ""101"": 517, ""011"": 524, ""110"": 484, ""001"": 547, ""111"": 535, ""010"": 490, ""100"": 509}",0.11962890625,cz52b1wp6030008chpz0,ibm_kyiv
completed,5011,11,20026,"{""u"": 3970, ""y"": 3952, ""x"": 3834, ""t"": 2081, ""tdg"": 2081, ""s"": 2041, ""sdg"": 2041, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10000,ibm,dynamic_payload_gates,"{""1110"": 271, ""0001"": 261, ""1000"": 227, ""1111"": 239, ""0011"": 262, ""0101"": 281, ""0000"": 236, ""1101"": 262, ""1001"": 243, ""0110"": 274, ""1011"": 247, ""1010"": 264, ""0100"": 259, ""0010"": 260, ""0111"": 247, ""1100"": 263}",0.0576171875,cz52bexkvm9g008g9y20,ibm_kyiv
completed,5011,11,20028,"{""y"": 4246, ""u"": 3960, ""x"": 3876, ""s"": 2001, ""sdg"": 2001, ""t"": 1959, ""tdg"": 1959, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10001,ibm,dynamic_payload_gates,"{""1101"": 277, ""0010"": 247, ""1000"": 263, ""0110"": 248, ""0111"": 276, ""1011"": 258, ""0101"": 239, ""1001"": 268, ""0001"": 274, ""0100"": 252, ""1110"": 241, ""0000"": 265, ""1100"": 250, ""1111"": 252, ""0011"": 241, ""1010"": 245}",0.064697265625,cz52bp61xvhg008eacn0,ibm_kyiv
completed,5011,11,20030,"{""y"": 4004, ""x"": 3978, ""u"": 3916, ""s"": 2054, ""sdg"": 2054, ""t"": 1999, ""tdg"": 1999, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10002,ibm,dynamic_payload_gates,"{""1010"": 272, ""0100"": 278, ""1110"": 246, ""0111"": 298, ""1101"": 267, ""0101"": 258, ""0001"": 261, ""1001"": 224, ""1000"": 244, ""0000"": 228, ""1011"": 254, ""0011"": 240, ""1111"": 259, ""1100"": 251, ""0110"": 263, ""0010"": 253}",0.0556640625,cz52bxf39f40008sftxg,ibm_kyiv
completed,5011,11,20032,"{""y"": 4132, ""x"": 3956, ""u"": 3908, ""t"": 2016, ""tdg"": 2016, ""s"": 1989, ""sdg"": 1989, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10003,ibm,dynamic_payload_gates,"{""0011"": 256, ""1111"": 257, ""0111"": 276, ""1011"": 246, ""0010"": 288, ""0000"": 237, ""1100"": 245, ""1001"": 255, ""0100"": 222, ""0110"": 274, ""0001"": 281, ""1101"": 242, ""1010"": 261, ""0101"": 232, ""1000"": 275, ""1110"": 249}",0.057861328125,cz52c481xvhg008eacr0,ibm_kyiv
completed,5013,11,20034,"{""y"": 4042, ""x"": 4000, ""u"": 3982, ""t"": 2004, ""tdg"": 2004, ""s"": 1988, ""sdg"": 1988, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10004,ibm,dynamic_payload_gates,"{""1001"": 219, ""0101"": 254, ""1000"": 249, ""0110"": 265, ""0010"": 277, ""0111"": 254, ""0000"": 272, ""0001"": 270, ""1010"": 238, ""1100"": 244, ""1110"": 247, ""1011"": 269, ""1101"": 260, ""0011"": 272, ""1111"": 241, ""0100"": 265}",0.06640625,cz52cc110wx0008bjhd0,ibm_kyiv
completed,5013,11,20036,"{""y"": 4016, ""u"": 3990, ""x"": 3976, ""t"": 2035, ""tdg"": 2035, ""s"": 1979, ""sdg"": 1979, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,10005,ibm,dynamic_payload_gates,"{""1001"": 274, ""1101"": 244, ""1011"": 270, ""1000"": 254, ""1110"": 229, ""0101"": 267, ""1100"": 259, ""0000"": 260, ""0110"": 212, ""1010"": 250, ""0001"": 270, ""0011"": 291, ""0111"": 246, ""1111"": 254, ""0010"": 278, ""0100"": 238}",0.0634765625,cz52ck2p6030008chq9g,ibm_kyiv

