status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,error
error,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,simulation,dynamic_payload_gates,"{""0"": 1024}",1.0,You must specify a region.
error,15,5,15,"{""cx"": 5, ""h"": 4, ""z"": 4, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,simulation,dynamic_payload_gates,"{""0"": 1024}",1.0,You must specify a region.
error,17,5,17,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""y"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,dynamic_payload_gates,"{""0"": 1024}",1.0,You must specify a region.
error,19,5,19,"{""cx"": 5, ""h"": 4, ""x"": 4, ""barrier"": 4, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,simulation,dynamic_payload_gates,"{""0"": 1024}",1.0,You must specify a region.
error,21,5,21,"{""h"": 8, ""cx"": 5, ""barrier"": 4, ""x"": 2, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5,simulation,dynamic_payload_gates,"{""0"": 1024}",1.0,You must specify a region.
error,13,7,18,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,1,simulation,dynamic_payload_gates,"{""00"": 1024}",1.0,You must specify a region.
error,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""z"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,simulation,dynamic_payload_gates,"{""00"": 1024}",1.0,You must specify a region.
error,15,7,22,"{""h"": 8, ""cx"": 7, ""barrier"": 4, ""x"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3,simulation,dynamic_payload_gates,"{""00"": 1024}",1.0,You must specify a region.
error,17,7,24,"{""h"": 8, ""cx"": 7, ""y"": 4, ""barrier"": 4, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,4,simulation,dynamic_payload_gates,"{""00"": 1024}",1.0,You must specify a region.
error,17,7,26,"{""cx"": 7, ""h"": 6, ""z"": 4, ""barrier"": 4, ""sdg"": 2, ""y"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5,simulation,dynamic_payload_gates,"{""00"": 1024}",1.0,You must specify a region.
error,15,9,23,"{""h"": 10, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,1,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,You must specify a region.
error,15,9,25,"{""cx"": 9, ""h"": 8, ""barrier"": 4, ""measure"": 3, ""y"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,2,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,You must specify a region.
error,17,9,27,"{""h"": 10, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""y"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,3,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,You must specify a region.
error,17,9,29,"{""cx"": 9, ""h"": 8, ""barrier"": 4, ""measure"": 3, ""sdg"": 2, ""s"": 2, ""x"": 2, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,4,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,You must specify a region.
error,17,9,31,"{""cx"": 9, ""h"": 8, ""y"": 4, ""barrier"": 4, ""measure"": 3, ""x"": 2, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",6,3,0,0,False,False,3,5,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,You must specify a region.
