status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate
submitted,6005,5,6011,"{""y"": 1046, ""s"": 1041, ""sdg"": 1041, ""x"": 988, ""h"": 978, ""z"": 910, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/fdd4298d-9c9d-4af3-bf3a-8806757c5e95,"{""0"": 1024}",1.0
submitted,6007,5,6013,"{""x"": 1064, ""z"": 1016, ""y"": 1002, ""sdg"": 992, ""s"": 992, ""h"": 940, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/7deb0349-bb60-4ce0-bd3f-db221c1a280c,"{""0"": 1024}",1.0
submitted,6009,5,6015,"{""h"": 1050, ""x"": 1034, ""y"": 1000, ""sdg"": 975, ""s"": 975, ""z"": 974, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/f8c8e9b7-ab62-4e09-b2f4-112c5a439ae6,"{""0"": 1024}",1.0
submitted,6011,5,6017,"{""h"": 1054, ""y"": 1022, ""z"": 1008, ""x"": 1000, ""s"": 963, ""sdg"": 963, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/7f8a864f-bcc5-4601-a3dc-77f6050218a2,"{""0"": 1024}",1.0
submitted,6013,5,6019,"{""h"": 1044, ""y"": 1040, ""s"": 1015, ""sdg"": 1015, ""x"": 960, ""z"": 938, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3004,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/39b5be8b-2fdf-480e-bf8a-ce16fdb5bb36,"{""0"": 1024}",1.0
submitted,6015,5,6021,"{""x"": 1054, ""y"": 1040, ""z"": 1000, ""s"": 994, ""sdg"": 994, ""h"": 932, ""cx"": 5, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3005,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/64ecad62-7632-4925-b4e5-fabfa1b3dbb5,"{""0"": 1024}",1.0
submitted,3007,7,6016,"{""s"": 1053, ""sdg"": 1053, ""y"": 1006, ""h"": 992, ""z"": 978, ""x"": 924, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3000,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/cac1b94f-74b5-4e52-a6ce-15c43b0fe71e,"{""00"": 1024}",1.0
submitted,3007,7,6018,"{""z"": 1058, ""y"": 1022, ""x"": 1010, ""sdg"": 981, ""s"": 981, ""h"": 956, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3001,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/a83fd3ef-8b87-49ad-a35f-9770d6daca10,"{""00"": 1024}",1.0
submitted,3009,7,6020,"{""x"": 1088, ""y"": 998, ""s"": 986, ""sdg"": 986, ""h"": 984, ""z"": 968, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3002,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/2649fad6-20d4-4653-90f8-d94b6bab06e4,"{""00"": 1024}",1.0
submitted,3009,7,6022,"{""y"": 1092, ""h"": 1022, ""s"": 1015, ""sdg"": 1015, ""x"": 992, ""z"": 876, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3003,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/20716034-1486-4321-95c4-9c8385484e20,"{""00"": 1024}",1.0
submitted,3011,7,6024,"{""y"": 1066, ""sdg"": 1008, ""s"": 1008, ""h"": 1002, ""x"": 972, ""z"": 958, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3004,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/d3825030-8d4e-4855-bc10-b427d2dcd5ff,"{""00"": 1024}",1.0
submitted,3011,7,6026,"{""y"": 1106, ""h"": 1034, ""s"": 988, ""sdg"": 988, ""x"": 970, ""z"": 930, ""cx"": 7, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3005,aws,dynamic_payload_gates,arn:aws:braket:us-west-1:265556963705:quantum-task/0e264d28-73a2-41d0-afcb-2ce41911e1b1,"{""00"": 1024}",1.0
