job_id,status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate
rigetti_ankaa_3-cmarquezb-qjob-tno5hbft5etrcbc2xmct,completed,1011,5,1011,"{""s"": 176, ""sdg"": 176, ""h"": 168, ""y"": 168, ""z"": 160, ""x"": 156, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,500,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7
rigetti_ankaa_3-cmarquezb-qjob-kvovsicp39qlk0kpwon6,completed,1013,5,1013,"{""h"": 214, ""y"": 184, ""z"": 158, ""s"": 151, ""sdg"": 151, ""x"": 148, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,501,qbraid,dynamic_payload_gates,"{""0"": 5, ""1"": 5}",0.5
rigetti_ankaa_3-cmarquezb-qjob-4qh8ymupecwnongp6mbj,completed,1015,5,1015,"{""s"": 197, ""sdg"": 197, ""h"": 174, ""x"": 160, ""y"": 146, ""z"": 134, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,502,qbraid,dynamic_payload_gates,"{""0"": 6, ""1"": 4}",0.6
rigetti_ankaa_3-cmarquezb-qjob-ngmykql7arnz3ogo08z7,completed,1017,5,1017,"{""z"": 182, ""y"": 180, ""x"": 174, ""s"": 163, ""sdg"": 163, ""h"": 148, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,503,qbraid,dynamic_payload_gates,"{""0"": 9, ""1"": 1}",0.9
rigetti_ankaa_3-cmarquezb-qjob-f79czoz4l31qiqx5rviw,completed,1019,5,1019,"{""y"": 208, ""h"": 168, ""x"": 162, ""sdg"": 158, ""s"": 158, ""z"": 158, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,504,qbraid,dynamic_payload_gates,"{""0"": 8, ""1"": 2}",0.8
rigetti_ankaa_3-cmarquezb-qjob-mmwa9lh8ibc2z32lp8jx,completed,1021,5,1021,"{""sdg"": 186, ""s"": 186, ""z"": 182, ""h"": 178, ""x"": 150, ""y"": 132, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,505,qbraid,dynamic_payload_gates,"{""0"": 8, ""1"": 2}",0.8
rigetti_ankaa_3-cmarquezb-qjob-6mfvwnb0b4vy39w5nqo7,completed,513,7,1016,"{""x"": 188, ""s"": 176, ""sdg"": 176, ""y"": 164, ""h"": 152, ""z"": 150, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,500,qbraid,dynamic_payload_gates,"{""00"": 1, ""01"": 3, ""10"": 2, ""11"": 4}",0.1
rigetti_ankaa_3-cmarquezb-qjob-pc65l47gyxnqubu3gd6v,completed,513,7,1018,"{""h"": 182, ""z"": 174, ""sdg"": 169, ""s"": 169, ""x"": 160, ""y"": 154, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,501,qbraid,dynamic_payload_gates,"{""00"": 5, ""01"": 2, ""10"": 1, ""11"": 2}",0.5
rigetti_ankaa_3-cmarquezb-qjob-4htwdjxeq3mrt506fopm,completed,515,7,1020,"{""x"": 184, ""y"": 172, ""z"": 168, ""sdg"": 165, ""s"": 165, ""h"": 156, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,502,qbraid,dynamic_payload_gates,"{""00"": 4, ""01"": 1, ""10"": 2, ""11"": 3}",0.4
rigetti_ankaa_3-cmarquezb-qjob-qqj2c5bv8l7xjxu3sptp,completed,515,7,1022,"{""z"": 184, ""h"": 174, ""y"": 174, ""s"": 170, ""sdg"": 170, ""x"": 140, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,503,qbraid,dynamic_payload_gates,"{""00"": 4, ""10"": 1, ""11"": 5}",0.4
rigetti_ankaa_3-cmarquezb-qjob-jnjfkzn57wjp76bkofo2,completed,517,7,1024,"{""s"": 180, ""sdg"": 180, ""x"": 176, ""h"": 166, ""y"": 164, ""z"": 148, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,504,qbraid,dynamic_payload_gates,"{""00"": 5, ""01"": 4, ""11"": 1}",0.5
rigetti_ankaa_3-cmarquezb-qjob-gy0pqzvj7vzq19q8djym,completed,517,7,1026,"{""x"": 184, ""h"": 178, ""z"": 168, ""s"": 166, ""sdg"": 166, ""y"": 154, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,505,qbraid,dynamic_payload_gates,"{""00"": 5, ""10"": 2, ""11"": 3}",0.5
rigetti_ankaa_3-cmarquezb-qjob-dq5c7ervefp2lp7sc8li,completed,347,9,1021,"{""h"": 184, ""x"": 180, ""y"": 168, ""s"": 164, ""sdg"": 164, ""z"": 148, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,500,qbraid,dynamic_payload_gates,"{""000"": 5, ""010"": 1, ""011"": 2, ""101"": 1, ""111"": 1}",0.5
rigetti_ankaa_3-cmarquezb-qjob-4j7389ma74u5reo8rid7,completed,349,9,1023,"{""sdg"": 181, ""s"": 181, ""x"": 176, ""z"": 174, ""y"": 170, ""h"": 128, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,501,qbraid,dynamic_payload_gates,"{""000"": 2, ""001"": 1, ""010"": 3, ""011"": 1, ""100"": 1, ""110"": 1, ""111"": 1}",0.2
rigetti_ankaa_3-cmarquezb-qjob-uax2tqr2o610gbywlgn8,completed,349,9,1025,"{""h"": 186, ""x"": 178, ""s"": 166, ""sdg"": 166, ""z"": 166, ""y"": 150, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,502,qbraid,dynamic_payload_gates,"{""000"": 4, ""010"": 1, ""011"": 1, ""100"": 3, ""111"": 1}",0.4
rigetti_ankaa_3-cmarquezb-qjob-mf5kud16nvmm6yqi1qhe,completed,349,9,1027,"{""h"": 200, ""z"": 172, ""y"": 164, ""sdg"": 163, ""s"": 163, ""x"": 152, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,503,qbraid,dynamic_payload_gates,"{""000"": 5, ""010"": 1, ""101"": 1, ""110"": 1, ""111"": 2}",0.5
rigetti_ankaa_3-cmarquezb-qjob-i3bqargeougpyw1vmrjo,completed,351,9,1029,"{""z"": 184, ""y"": 174, ""s"": 170, ""sdg"": 170, ""h"": 160, ""x"": 158, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,504,qbraid,dynamic_payload_gates,"{""000"": 4, ""001"": 1, ""100"": 1, ""110"": 1, ""111"": 3}",0.4
rigetti_ankaa_3-cmarquezb-qjob-dq9cptz4vjbz3f969lsb,completed,351,9,1031,"{""h"": 206, ""y"": 182, ""z"": 172, ""sdg"": 154, ""s"": 154, ""x"": 150, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,505,qbraid,dynamic_payload_gates,"{""000"": 1, ""001"": 1, ""100"": 2, ""101"": 1, ""110"": 2, ""111"": 3}",0.1
rigetti_ankaa_3-cmarquezb-qjob-1lyjgtt0a6xzjv5rxu1s,completed,267,11,1026,"{""y"": 188, ""h"": 182, ""s"": 167, ""sdg"": 167, ""z"": 154, ""x"": 152, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,500,qbraid,dynamic_payload_gates,"{""0000"": 2, ""0001"": 2, ""0010"": 1, ""0110"": 1, ""0111"": 1, ""1011"": 1, ""1100"": 1, ""1111"": 1}",0.2
rigetti_ankaa_3-cmarquezb-qjob-xt1ejr8q2bf0znamoeld,completed,267,11,1028,"{""h"": 204, ""z"": 184, ""s"": 168, ""sdg"": 168, ""y"": 164, ""x"": 124, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,501,qbraid,dynamic_payload_gates,"{""0000"": 1, ""0001"": 2, ""0100"": 2, ""0110"": 1, ""0111"": 1, ""1100"": 2, ""1101"": 1}",0.1
rigetti_ankaa_3-cmarquezb-qjob-qxxhcddsljslvnheh6gh,completed,267,11,1030,"{""h"": 204, ""y"": 172, ""x"": 164, ""z"": 162, ""s"": 156, ""sdg"": 156, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,502,qbraid,dynamic_payload_gates,"{""0000"": 1, ""0001"": 1, ""0010"": 1, ""0011"": 1, ""0100"": 2, ""0110"": 1, ""1011"": 1, ""1101"": 1, ""1111"": 1}",0.1
rigetti_ankaa_3-cmarquezb-qjob-29q946fifjq7opk9nduh,completed,267,11,1032,"{""z"": 192, ""h"": 184, ""y"": 180, ""x"": 166, ""s"": 147, ""sdg"": 147, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,503,qbraid,dynamic_payload_gates,"{""0000"": 3, ""0100"": 3, ""1010"": 1, ""1100"": 1, ""1101"": 2}",0.3
rigetti_ankaa_3-cmarquezb-qjob-q4ezlg0g1ruibnblc6g2,completed,269,11,1034,"{""s"": 186, ""sdg"": 186, ""h"": 174, ""y"": 172, ""x"": 152, ""z"": 148, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,504,qbraid,dynamic_payload_gates,"{""0000"": 3, ""0001"": 3, ""0100"": 1, ""0110"": 1, ""1001"": 1, ""1110"": 1}",0.3
rigetti_ankaa_3-cmarquezb-qjob-rszifhruao24917l9l39,completed,269,11,1036,"{""h"": 192, ""s"": 173, ""sdg"": 173, ""y"": 166, ""z"": 166, ""x"": 150, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,505,qbraid,dynamic_payload_gates,"{""0001"": 2, ""0010"": 1, ""0100"": 1, ""1000"": 1, ""1010"": 1, ""1100"": 1, ""1110"": 2, ""1111"": 1}",0.0
