status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,job_id
completed,10011,5,10011,"{""z"": 1756, ""y"": 1744, ""s"": 1645, ""sdg"": 1645, ""x"": 1622, ""h"": 1592, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5000,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-cxvbh3fgyd5vyghl57h5
completed,10013,5,10013,"{""z"": 1696, ""sdg"": 1668, ""s"": 1668, ""x"": 1662, ""h"": 1656, ""y"": 1656, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5001,qbraid,dynamic_payload_gates,"{""0"": 6, ""1"": 4}",0.6,rigetti_ankaa_3-cmarquezb-qjob-gmrgwe1h1pbcl139s793
completed,10015,5,10015,"{""x"": 1694, ""sdg"": 1693, ""s"": 1693, ""y"": 1670, ""h"": 1634, ""z"": 1624, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5002,qbraid,dynamic_payload_gates,"{""0"": 9, ""1"": 1}",0.9,rigetti_ankaa_3-cmarquezb-qjob-qglvuayd0ypztkbj3ob0
completed,10017,5,10017,"{""x"": 1804, ""y"": 1680, ""z"": 1664, ""s"": 1643, ""sdg"": 1643, ""h"": 1576, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5003,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-nep0inmtv9j75key7l06
completed,10019,5,10019,"{""s"": 1740, ""sdg"": 1740, ""h"": 1698, ""x"": 1686, ""y"": 1580, ""z"": 1568, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5004,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-4qsjqhqxe908g3zlfbf6
completed,10021,5,10021,"{""z"": 1730, ""x"": 1670, ""s"": 1667, ""sdg"": 1667, ""y"": 1664, ""h"": 1616, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5005,qbraid,dynamic_payload_gates,"{""0"": 5, ""1"": 5}",0.5,rigetti_ankaa_3-cmarquezb-qjob-8wwaigvz7sh2eytjtpek
completed,5013,7,10016,"{""y"": 1688, ""h"": 1678, ""sdg"": 1673, ""s"": 1673, ""z"": 1672, ""x"": 1622, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5000,qbraid,dynamic_payload_gates,"{""00"": 3, ""01"": 3, ""10"": 2, ""11"": 2}",0.3,rigetti_ankaa_3-cmarquezb-qjob-ypt5yocg2pu47e78ldmj
completed,5013,7,10018,"{""y"": 1726, ""h"": 1698, ""sdg"": 1673, ""s"": 1673, ""z"": 1650, ""x"": 1588, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5001,qbraid,dynamic_payload_gates,"{""00"": 4, ""01"": 2, ""11"": 4}",0.4,rigetti_ankaa_3-cmarquezb-qjob-43hb5pygn6fq2hytuxal
completed,5015,7,10020,"{""y"": 1700, ""x"": 1678, ""s"": 1678, ""sdg"": 1678, ""z"": 1640, ""h"": 1636, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5002,qbraid,dynamic_payload_gates,"{""00"": 1, ""01"": 4, ""10"": 3, ""11"": 2}",0.1,rigetti_ankaa_3-cmarquezb-qjob-9a0h1byvntacy40w5dlb
completed,5015,7,10022,"{""z"": 1728, ""h"": 1704, ""y"": 1670, ""x"": 1658, ""s"": 1626, ""sdg"": 1626, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5003,qbraid,dynamic_payload_gates,"{""00"": 4, ""01"": 2, ""10"": 2, ""11"": 2}",0.4,rigetti_ankaa_3-cmarquezb-qjob-7qbzazcw78r1qvicm3e9
completed,5017,7,10024,"{""x"": 1692, ""s"": 1688, ""sdg"": 1688, ""y"": 1652, ""z"": 1650, ""h"": 1644, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5004,qbraid,dynamic_payload_gates,"{""00"": 4, ""10"": 1, ""11"": 5}",0.4,rigetti_ankaa_3-cmarquezb-qjob-ipnecdsiw401nftcaulm
completed,5017,7,10026,"{""x"": 1740, ""h"": 1700, ""z"": 1650, ""s"": 1649, ""sdg"": 1649, ""y"": 1628, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5005,qbraid,dynamic_payload_gates,"{""00"": 1, ""10"": 4, ""11"": 5}",0.1,rigetti_ankaa_3-cmarquezb-qjob-kna0jm35fjtpiba071t8
completed,3347,9,10021,"{""y"": 1750, ""z"": 1716, ""x"": 1644, ""h"": 1638, ""s"": 1630, ""sdg"": 1630, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5000,simulation,dynamic_payload_gates,"{""000"": 1024}",1.0,rigetti_ankaa_3-cmarquezb-qjob-4ebw0rcdq6jtdssdbmup
completed,3349,9,10023,"{""h"": 1754, ""y"": 1694, ""s"": 1678, ""sdg"": 1678, ""x"": 1654, ""z"": 1552, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5001,qbraid,dynamic_payload_gates,"{""000"": 2, ""010"": 4, ""101"": 1, ""111"": 3}",0.2,rigetti_ankaa_3-cmarquezb-qjob-jgiwugyb3xvgg6x7kv3o
completed,3349,9,10025,"{""x"": 1738, ""h"": 1698, ""s"": 1682, ""sdg"": 1682, ""y"": 1622, ""z"": 1590, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5002,qbraid,dynamic_payload_gates,"{""000"": 5, ""001"": 1, ""010"": 1, ""100"": 1, ""110"": 1, ""111"": 1}",0.5,rigetti_ankaa_3-cmarquezb-qjob-zy4yclbthf8zqf54g2k4
