status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate,target_depth
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-osa6d3bu62rkj0r2mkms,"{""0"": 8, ""1"": 2}",0.8,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-ds3q7h57bcluu0x69a2s,"{""0"": 7, ""1"": 3}",0.7,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-vpabk9e6ovyawrako0ol,"{""0"": 8, ""1"": 2}",0.8,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-xgddmiuig0oa8q05vk4x,"{""0"": 10}",1.0,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-f7gurrt1xg5hd13gjdq9,"{""0"": 9, ""1"": 1}",0.9,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-lztbuscz4rwd9zss8ts0,"{""0"": 10}",1.0,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-gqtgz90zi77eb2wvgoh0,"{""0"": 8, ""1"": 2}",0.8,13
completed,13,5,13,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-ajh4f7zio6jqqrkewgsz,"{""0"": 7, ""1"": 3}",0.7,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-jm7rvfa3e6zws0nwi0jk,"{""0"": 9, ""1"": 1}",0.9,13
completed,13,5,13,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,1,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-vhv43r12tnflutw3ixan,"{""0"": 8, ""1"": 2}",0.8,13
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-zaxa2veysj04fhn7afpc,"{""0"": 8, ""1"": 2}",0.8,15
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""z"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-qup306cemls97pccs1ne,"{""00"": 4, ""10"": 2, ""11"": 4}",0.4,15
completed,15,5,15,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-40k2z24adj34966vz6m8,"{""0"": 8, ""1"": 2}",0.8,15
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""x"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-x213wfaqqd519o9y247s,"{""00"": 2, ""01"": 3, ""11"": 5}",0.2,15
